url	title	macro_area	indirizzo	keyword_ristorante	orario_apertura	ranking	total_ranking
https://deliveroo.it/menu/milano/gambara-bande-nere/il-nuovo-secolo?day=today&geohash=u0nd8be8xnqv&time=1300	Fusion Restaurant - Il Nuovo Secolo	Gambara - Bande Nere	Viale Ergisto Bezzi 86, Milano, 20146	['Sushi', 'Cinese', 'Giapponese']	Aperti fino alle 23:00	4.5	11 
https://deliveroo.it/menu/milano/magenta/cecco?day=today&geohash=u0nd8be8xnqv&time=1300	Cecco	Magenta	Vincenzo Monti 34,, Milano, 20143	['Pizza', 'Italiano', 'Bistecche', 'Vino']	Apre a 19:00	4.5	50+ 
https://deliveroo.it/menu/milano/giambellino/matty-per-il-gelato?day=today&geohash=u0nd8be8xnqv&time=1315	Matty per il Gelato	Giambellino	Via Lorenteggio, 43, Milano, 20146	['Italiano', 'Dessert', 'Gelato']	Aperti fino alle 22:00	4.5	50+ 
https://deliveroo.it/menu/milano/navigli/i-segreti-di-pulcinella?day=today&geohash=u0nd8be8xnqv&time=1900	I Segreti Di Pulcinella	Navigli	Via Carlo D'Adda 2, Milano, 20143	['Pizza', 'Italiano']	Apre a 18:30	4.5	50+ 
https://deliveroo.it/menu/milano/de-angeli-ravizza/baobab-organic-burger-sanzio?day=today&geohash=u0nd8be8xnqv&time=1915	Baobab Organic Burger	De Angeli - Ravizza	Via Raffaello Sanzio 4, Milano, 20149	['Americano', 'Hamburger']	Apre a 18:30	4.5	50+ 
https://deliveroo.it/menu/milano/de-angeli-ravizza/rustell?day=today&geohash=u0nd8be8xnqv&time=1930	Rustell	De Angeli - Ravizza	Via Buonarroti 21, Milano, 20149	['Italiano', 'Sandwich']	Apre a 19:00	4.5	50+ 
https://deliveroo.it/menu/milano/medaglie-doro/ristorante-shannara-3?day=today&geohash=u0nd8be8xnqv&time=1930	Ristorante Shannara 3	Medaglie d'oro	Via Vanucci 22,, Milano, 20135	['Italiano', 'Frutti Di Mare', 'Pasta']	Apre a 19:00	4.5	35 
https://deliveroo.it/menu/milano/medaglie-doro/la-cantina-di-don-juan?day=today&geohash=u0nd8be8xnqv&time=1930	Ristorante Argentino Don Juan	Medaglie d'oro	Via Altaguardia 2, Milano, 20135	['Argentino', 'Bistecche', 'Bevande', 'Alcol', 'Latinoamericano']	Apre a 19:00	4.5	50+ 
https://deliveroo.it/menu/milano/darsena/rugantino-via-fabbri?day=today&geohash=u0nd8be8xnqv&time=1945	Rugantino	Darsena	Corso di Porta Ticinese 38, Milano, 20123	['Italiano', 'Pasta']	Apre a 19:00	4.5	50+ 
https://deliveroo.it/menu/milano/guastalla/al-pizzetta?day=today&geohash=u0nd8be8xnqv&time=1945	Al Pizzetta	Guastalla	Viale Montenero 73, Milano, 20129	['Pizza', 'Italiano']	Apre a 19:00	4.5	50+ 
https://deliveroo.it/menu/milano/medaglie-doro/tiraboschi-6-chiacchiere-vino-and-cucina?day=today&geohash=u0nd8be8xnqv&time=1945	Tiraboschi 6 - Chiacchiere Vino & Cucina	Medaglie d'oro	Via Gerolamo Tiraboschi 6, Milano, 20135	['Healthy', 'Insalate', 'Hamburger', 'Italiano', 'Pasta', 'Vegetariano']	Apre a 19:00	4.5	24 
https://deliveroo.it/menu/milano/cinque-giornate/la-bracioleria-milano?day=today&geohash=u0nd8be8xnqv&time=1945	La Bracioleria	Cinque Giornate	Via Antonio Fogazzaro, 9, Milano, 20135	['Italiano', 'Pasta']	Apre a 19:00	4.5	14 
https://deliveroo.it/menu/milano/darsena/la-magolfa?day=today&geohash=u0nd8be8xnqv&time=1245	La Magolfa	Darsena	Piazza XXIV Maggio, 6,, Milano, 20123	['Pizza', 'Italiano', 'Pasta']	Aperti fino alle 23:00	4.4	29 
https://deliveroo.it/menu/milano/ripamonti/la-cappa?day=today&geohash=u0nd8be8xnqv&time=1245	Pizzeria La Cappa	Ripamonti	Via Ripamonti 150, Milano, 20141	['Pizza', 'Italiano']	Apre a 18:30	4.4	50+ 
https://deliveroo.it/menu/milano/porta-romana/don-juanito?day=today&geohash=u0nd8be8xnqv&time=1245	Don Juanito	Porta Romana	Corso di Porta Vigentina, 33/35, Milano, 20122	['Argentino', 'Spagnolo', 'Americano', 'Latinoamericano']	Apre a 18:00	4.4	50+ 
https://deliveroo.it/menu/milano/statale/vero-sapore-greco-milano?day=today&geohash=u0nd8be8xnqv&time=1245	Vero Sapore Greco	Statale	Via delle Ore, 2, Milano, 20121	['Greco', 'Hamburger', 'Frutti Di Mare', 'Vegetariano', 'Alcol']	Aperti fino alle 22:30	4.4	10 
https://deliveroo.it/menu/milano/tortona/banco?day=today&geohash=u0nd8be8xnqv&time=1245	Banco	Tortona	Via Alzaia Naviglio Grande 46, Milano, 20144	['Italiano', 'Sandwich', 'Alcol']	Apre a 18:00	4.4	50+ 
https://deliveroo.it/menu/milano/san-vittore/da-zero?day=today&geohash=u0nd8be8xnqv&time=1300	Da Zero	San Vittore	Via Edmondo De Amicis 45,, Milano, 20123	['Pizza', 'Italiano']	Aperti fino alle 23:00	4.4	50+ 
https://deliveroo.it/menu/milano/darsena/mascherpa?day=today&geohash=u0nd8be8xnqv&time=1300	Mascherpa tiramisù	Darsena	Via Edmondo De Amicis 7, Milano, 2012	['Italiano', 'Dessert', 'Vegano']	Aperti fino alle 22:00	4.4	50+ 
https://deliveroo.it/menu/milano/barona/osteria-del-sognatore?day=today&geohash=u0nd8be8xnqv&time=1300	Osteria Del Sognatore	Barona	Via Morimondo, 1, Milano, 20143	['Italiano', 'Colazione', 'Pasta', 'Frutti Di Mare']	Apre a 19:00	4.4	50+ 
https://deliveroo.it/menu/milano/washington/olivia-bistrot?day=today&geohash=u0nd8be8xnqv&time=1530	Olivia Gelato	Washington	Piazzale Aquileia 12, Milano, 20144	['Italiano', 'Gelato']	Apre a 15:00	4.4	50+ 
https://deliveroo.it/menu/milano/porta-romana/hats-off?day=today&geohash=u0nd8be8xnqv&time=1800	Hats off	Porta Romana	Via Orti, 16, Milano, 20122	['Americano', 'Hamburger', 'Colazione']	Apre a 17:30	4.4	50+ 
https://deliveroo.it/menu/milano/porta-romana/bbq-ribs-and-wings?day=today&geohash=u0nd8be8xnqv&time=1815	⚡ BBQ Ribs & Wings ⚡	Porta Romana	Via Orti, 16, Milano, 20122	['Americano', 'Barbecue', 'Tacos', 'Ali Di Pollo']	Apre a 17:30	4.4	50+ 
https://deliveroo.it/menu/milano/tortona/duomi-ristorante-cinese?day=today&geohash=u0nd8be8xnqv&time=1830	Duomi - Ristorante Cinese	Tortona	Via Vigevano, 33, Milano, 20144	['Cinese', 'Dim Sum']	Apre a 18:00	4.4	50+ 
https://deliveroo.it/menu/milano/barona/woodstock?day=today&geohash=u0nd8be8xnqv&time=1830	Woodstock	Barona	Via Lodovico il Moro 3, Milano, 20143	['Pizza', 'Italiano']	Apre a 18:00	4.4	50+ 
https://deliveroo.it/menu/milano/darsena/this-is-not-a-sushibar-conca?day=today&geohash=u0nd8be8xnqv&time=1845	This is not a sushibar - Conca	Darsena	Via Conca del Naviglio, 5, Milano, 20123	['Sushi', 'Giapponese']	Apre a 18:15	4.4	50+ 
https://deliveroo.it/menu/milano/bocconi/mexicali-viale-bligny-7?day=today&geohash=u0nd8be8xnqv&time=1900	Mexicali	Bocconi	Viale Bligny 7, Milano, 20136	['Burrito', 'Messicano', 'Insalate', 'Tacos', 'Vino']	Apre a 18:30	4.4	50+ 
https://deliveroo.it/menu/milano/ticinese/osteria-ovino?day=today&geohash=u0nd8be8xnqv&time=1915	Osteria Ovino	Ticinese	Viale Col di Lana 6, Milano, 20136	['Italiano', 'Bistecche', 'Sandwich', 'Insalate']	Apre a 18:45	4.4	21 
https://deliveroo.it/menu/milano/tortona/dou-asian-passion?day=today&geohash=u0nd8be8xnqv&time=1930	Dou Asian Passion	Tortona	Piazza Napoli 25, Milano, 20146	['Giapponese', 'Asiatico']	Apre a 18:45	4.4	50+ 
https://deliveroo.it/menu/milano/barona/moya?day=today&geohash=u0nd8be8xnqv&time=2000	Moya	Barona	Via Lodovico il Moro 11, Milano, 20143	['Sushi', 'Giapponese']	Apre a 19:30	4.4	50+ 
https://deliveroo.it/menu/milano/ticinese/bebop?day=today&geohash=u0nd8be8xnqv&time=2015	Be Bop	Ticinese	Viale Col di Lana, 4, Milano, 20136	['Pizza', 'Italiano', 'Senza Glutine']	Apre a 19:30	4.4	50+ 
https://deliveroo.it/menu/milano/tortona/perla-doro?day=today&geohash=u0nd8be8xnqv&time=1245	Perla d'oro	Tortona	Via Vigevano 13, Milano, 20144	['Sushi', 'Giapponese']	Apre a 18:00	4.3	50+ 
https://deliveroo.it/menu/milano/san-vittore/acero?day=today&geohash=u0nd8be8xnqv&time=1300	Acero	San Vittore	Viale Papiniano 57, Milano, 20123	['Sushi', 'Cinese', 'Giapponese']	Aperti fino alle 22:30	4.3	50+ 
https://deliveroo.it/menu/milano/tortona/tagliabrodo?day=today&geohash=u0nd8be8xnqv&time=1300	Tagliabrodo	Tortona	Via Andrea Solari 30, Milano, 20144	['Italiano', 'Healthy', 'Pasta']	Apre a 19:30	4.3	50+ 
https://deliveroo.it/menu/milano/navigli/much-more-milano?day=today&geohash=u0nd8be8xnqv&time=1300	Much more	Navigli	Via Carlo Torre, 45, Milano, 20143	['Italiano', 'Hamburger', 'Piadina']	Apre a	4.3	37 
https://deliveroo.it/menu/milano/navigli/movida-milano?day=today&geohash=u0nd8be8xnqv&time=1630	MOVIDA - Milano	Navigli	Via Ascanio Sforza 41, Milano, 20136	['Italiano', 'Pasta']	Apre a 16:00	4.3	50+ 
https://deliveroo.it/menu/milano/porta-romana/burrito-loco-milano?day=today&geohash=u0nd8be8xnqv&time=1815	⚡ Burrito Loco ⚡	Porta Romana	Via Orti 16, Milano, 20122	['Burrito', 'Messicano', 'Tacos']	Apre a 17:30	4.3	50+ 
https://deliveroo.it/menu/milano/ticinese/kobe-5?day=today&geohash=u0nd8be8xnqv&time=1830	Kobe 5	Ticinese	Piazzale di Porta Lodovica 5, Milano, 20136	['Cinese', 'Giapponese']	Apre a 18:00	4.3	50+ 
https://deliveroo.it/menu/milano/medaglie-doro/madison-milano?day=today&geohash=u0nd8be8xnqv&time=1830	Madison Milano	Medaglie d'oro	Viale Sabotino 12, Milano, 20135	['Americano', 'Sandwich', 'Hamburger', 'Brunch']	Apre a 18:00	4.3	50+ 
https://deliveroo.it/menu/milano/medaglie-doro/donna-burgherita?day=today&geohash=u0nd8be8xnqv&time=1830	Donna Burgherita	Medaglie d'oro	Viale Montenero, 3, Angolo Via Sassoferrato, Milano, 20135	['Americano']	Apre a 18:00	4.3	16 
https://deliveroo.it/menu/milano/medaglie-doro/a-pazziella?day=today&geohash=u0nd8be8xnqv&time=1900	'A Pazziella	Medaglie d'oro	Via Palladio 4/6, Milano, 20135	['Italiano', 'Pasta', 'Bistecche']	Apre a 18:30	4.3	50+ 
https://deliveroo.it/menu/milano/tortona/anima-e-cozze?day=today&geohash=u0nd8be8xnqv&time=1915	Capuano	Tortona	Via Orseolo 1, Milano, 20144	['Pizza', 'Italiano']	Apre a 18:30	4.3	50+ 
https://deliveroo.it/menu/milano/porta-romana/i-monelli?day=today&geohash=u0nd8be8xnqv&time=1945	I monelli	Porta Romana	Corso di Porta Romana 129, Milano, 20122	['Pizza', 'Italiano']	Apre a 19:00	4.3	50+ 
https://deliveroo.it/menu/milano/medaglie-doro/citta-del-drago?day=today&geohash=u0nd8be8xnqv&time=2000	Città Del Drago	Medaglie d'oro	Viale Sabotino 14, Milano, 20135	['Cinese']	Apre a 19:00	4.3	50+ 
https://deliveroo.it/menu/milano/tortona/pasta-e-coccole?day=today&geohash=u0nd8be8xnqv&time=1245	Mare in pasta	Tortona	Via Giuseppe Codara 1, Milano, 20144	['Italiano', 'Frutti Di Mare']	Apre a 18:15	4.2	14 
https://deliveroo.it/menu/milano/washington/ristorante-pizzeria-santambrogio?day=today&geohash=u0nd8be8xnqv&time=1245	Ristorante Pizzeria Sant'Ambrogio	Washington	Via Vincenzo Foppa 8, Milano, 20144	['Pizza', 'Italiano', 'Vino']	Apre a 19:00	4.2	50+ 
https://deliveroo.it/menu/milano/navigli/imy-navigli-sas?day=today&geohash=u0nd8be8xnqv&time=1300	IMY	Navigli	Via Filippo Argelati 1,, Milano, 20143	['Sushi', 'Giapponese', 'Dim Sum', 'Ravioli Cinesi', 'Noodles']	Aperti fino alle 23:00	4.2	50+ 
https://deliveroo.it/menu/milano/magenta/casa-del-pane?day=today&geohash=u0nd8be8xnqv&time=1300	Casa del Pane	Magenta	Via Vincenzo Monti, 56, Milano, 20123	['Italiano', 'Pasta', 'Healthy']	Apre a	4.2	47 
https://deliveroo.it/menu/milano/porta-romana/pizza-am?day=today&geohash=u0nd8be8xnqv&time=1315	Pizza AM	Porta Romana	Corso di Porta Romana, 83, Milano, 20122	['Pizza', 'Italiano']	Aperti fino alle 22:30	4.2	50+ 
https://deliveroo.it/menu/milano/porta-romana/hats-off-srl?day=today&geohash=u0nd8be8xnqv&time=1815	Chick Me Out	Porta Romana	Via Orti 16,, Milano, 20122	['Americano', 'Pollo', 'Pollo Fritto', 'Alla Griglia']	Apre a 17:30	4.2	50+ 
https://deliveroo.it/menu/milano/navigli/fabbrica-pizzeria-con-cucina?day=today&geohash=u0nd8be8xnqv&time=1900	Fabbrica - Pizzeria	Navigli	Alzaia Naviglio Grande 70, Milano, 20144	['Pizza', 'Italiano']	Apre a 18:30	4.2	50+ 
https://deliveroo.it/menu/milano/navigli/sushi-san?day=today&geohash=u0nd8be8xnqv&time=1915	Sushi San	Navigli	Via A. Sforza 17, Milano, 20136	['Sushi', 'Giapponese']	Apre a 18:30	4.2	50+ 
https://deliveroo.it/menu/milano/porta-monforte/street-burger-italian-gourment-sottocorno?day=today&geohash=u0nd8be8xnqv&time=1915	T'Amo Burger	Porta Monforte	Via Corridoni 10, Milano, 20122	['Italiano', 'Hamburger']	Apre a 18:30	4.2	50+ 
https://deliveroo.it/menu/milano/tortona/streat-meating-station?day=today&geohash=u0nd8be8xnqv&time=1930	Streat - Food & Beers Experience	Tortona	Via California 22, Milano, 20144	['Americano', 'Hamburger']	Apre a 18:45	4.2	50+ 
https://deliveroo.it/menu/milano/porta-monforte/taverna-del-verziere?day=today&geohash=u0nd8be8xnqv&time=1930	Taverna Visconti - Antica trattoria dal 1994	Porta Monforte	Via Corridoni 10, Milano, 20122	['Italiano', 'Pasta', 'Vino']	Apre a 18:30	4.2	50+ 
https://deliveroo.it/menu/milano/barona/ai-tre-ghiottoni?day=today&geohash=u0nd8be8xnqv&time=1930	Ai tre ghiottoni	Barona	Via F. Tosi 2, Milano, 20143	['Pizza', 'Italiano']	Apre a 19:00	4.2	50+ 
https://deliveroo.it/menu/milano/navigli/inkanto-cucina-peruviana?day=today&geohash=u0nd8be8xnqv&time=2000	Inkanto	Navigli	Via Emilio Gola 4, Milano, 20143	['Peruviano', 'Spagnolo']	Apre a 19:00	4.2	50+ 
https://deliveroo.it/menu/milano/barona/trattoria-caprese-cassala?day=today&geohash=u0nd8be8xnqv&time=1245	Trattoria Caprese	Barona	Viale Cassala 59, Milano, 20143	['Italiano', 'Pizza', 'Pasta']	Apre a 19:00	4.1	50+ 
https://deliveroo.it/menu/milano/san-vittore/boves-milano-via-cesare-da-sesto-1?day=today&geohash=u0nd8be8xnqv&time=1245	Dry Aged	San Vittore	Via Cesare da Sesto, 1, Milano, 20123	['Italiano', 'Hamburger']	Apre a 19:00	4.1	50+ 
https://deliveroo.it/menu/milano/statale/trafilata?day=today&geohash=u0nd8be8xnqv&time=1300	Trafilata	Statale	Via Santa Tecla 4, Milano, 20122	['Italiano', 'Pasta']	Apre a	4.1	50+ 
https://deliveroo.it/menu/milano/tortona/gustavo?day=today&geohash=u0nd8be8xnqv&time=1300	Gustavo	Tortona	Via Solari 26, Milano, 20144	['Hamburger', 'Sandwich', 'Insalate', 'Vegetariano']	Apre a 12:00	4.1	50+ 
https://deliveroo.it/menu/milano/tortona/ristorante-pizzeria-il-pomodorino?day=today&geohash=u0nd8be8xnqv&time=1315	Ristorante Pizzeria Il Pomodorino	Tortona	Via Andrea Solari 39, Milano, 20144	['Pizza', 'Italiano', 'Insalate', 'Pasta', 'Vino']	Aperti fino alle 23:45	4.1	50+ 
https://deliveroo.it/menu/milano/porta-romana/coedo-osteria-giapponese?day=today&geohash=u0nd8be8xnqv&time=1315	Coedo Osteria Giapponese	Porta Romana	Corso di Porta Romana 107, Milano, 20122	['Giapponese', 'Noodles']	Aperti fino alle 22:00	4.1	33 
https://deliveroo.it/menu/milano/bocconi/take-ue?day=today&geohash=u0nd8be8xnqv&time=1900	Pizzeria Napulegna	Bocconi	Viale Bligny 16, Milano, 20136	['Pizza', 'Italiano']	Apre a 18:30	4.1	50+ 
https://deliveroo.it/menu/milano/missori/onigireria-by-basara?day=today&geohash=u0nd8be8xnqv&time=1900	ONIGIRERIA by Basara	Missori	Corso Italia 6, Milano, 20122	['Sushi', 'Giapponese']	Apre a 18:30	4.1	50+ 
https://deliveroo.it/menu/milano/porta-monforte/taverna-visconti-trattoria-di-mare-e-pizzeria-partenopea?day=today&geohash=u0nd8be8xnqv&time=1915	Taverna Visconti Pizzeria Partenopea	Porta Monforte	Via Corridoni 10, Milano, 20122	['Pizza', 'Italiano']	Apre a 18:30	4.1	21 
https://deliveroo.it/menu/milano/porta-monforte/tamo-pasta?day=today&geohash=u0nd8be8xnqv&time=1915	T'Amo Pasta	Porta Monforte	Via Corridoni 10, Milano, 20122	['Italiano', 'Pasta']	Apre a 18:30	4.1	50+ 
https://deliveroo.it/menu/milano/porta-romana/gennaro-esposito-milano?day=today&geohash=u0nd8be8xnqv&time=1930	Gennaro Esposito Milano	Porta Romana	Via della Commenda 43, Milano, 20122	['Pizza', 'Italiano']	Apre a 19:00	4.1	50+ 
https://deliveroo.it/menu/milano/washington/basara-sushi-pasticceria-via-washington?day=today&geohash=u0nd8be8xnqv&time=2015	Basara - sushi pasticceria	Washington	Via Washington, 70, Milano, 20146	['Sushi', 'Giapponese']	Apre a 19:30	4.1	18 
https://deliveroo.it/menu/milano/colonne-di-san-lorenzo/by-caputo-alle-colonne-pizzeria?day=today&geohash=u0nd8be8xnqv&time=1245	Pizzeria Alle Colonne	Colonne di San Lorenzo	Corso di Porta Ticinese 16, Milano, 20123	['Pizza', 'Italiano']	Apre a 18:30	4	50+ 
https://deliveroo.it/menu/milano/guastalla/nietta?day=today&geohash=u0nd8be8xnqv&time=1845	Nietta	Guastalla	Via Carlo Freguglia, 2, Milano, 20122	['Italiano', 'Pizza']	Apre a 18:00	4	50+ 
https://deliveroo.it/menu/milano/darsena/this-is-not-a-poke?day=today&geohash=u0nd8be8xnqv&time=1915	This is not a Poke	Darsena	Via Conca del Naviglio, 5, Milano, 20123	['Hawaiano', 'Poke', 'Healthy']	Apre a 18:15	4	50+ 
https://deliveroo.it/menu/milano/ripamonti/il-padellino?day=today&geohash=u0nd8be8xnqv&time=1930	Il Padellino	Ripamonti	Via Bordighera 11, Milano, 20142	['Pizza', 'Italiano']	Apre a 19:00	4	50+ 
https://deliveroo.it/menu/milano/medaglie-doro/muud-creative-sushi?day=today&geohash=u0nd8be8xnqv&time=1930	Muud Creative Sushi	Medaglie d'oro	Via Adige 8, Milano, 20125	['Sushi', 'Giapponese']	Apre a 19:00	4	41 
https://deliveroo.it/menu/milano/calvarate/regina-catari-pizzeria-e-friggitoria-napoletana?day=today&geohash=u0nd8be8xnqv&time=2000	Regina Catarì - Pizzeria e Friggitoria Napoletana	Calvarate	Via Giovanni Cadolini 13, Milano, 20137	['Pizza', 'Italiano']	Apre a 19:00	4	50+ 
https://deliveroo.it/menu/milano/barona/tutti-gusti?day=today&geohash=u0nd8be8xnqv&time=1245	Tutti I Gusti	Barona	Via Zumbini 36, Milano, 20143	['Pizza', 'Italiano']	Aperti fino alle 23:00	3.9	50+ 
https://deliveroo.it/menu/milano/washington/mappamondoroyal?day=today&geohash=u0nd8be8xnqv&time=1300	Mappamondo Royal	Washington	Viale Coni Zugna, 9, Milano, 20144	['Italiano', 'Pasta', 'Pizza']	Aperti fino alle 23:50	3.9	23 
https://deliveroo.it/menu/milano/washington/le-tre-stelle?day=today&geohash=u0nd8be8xnqv&time=1300	Le Tre Stelle	Washington	Via Giorgio Washington, 82, Milano, 20146	['Pizza', 'Italiano']	Apre a 18:30	3.9	31 
https://deliveroo.it/menu/milano/navigli/maya-restaurant?day=today&geohash=u0nd8be8xnqv&time=1715	Maya Restaurant	Navigli	Via Ascanio Sforza 41, Milano, 20136	['Messicano', 'Insalate', 'Tacos']	Apre a 17:00	3.9	50+ 
https://deliveroo.it/menu/milano/ripamonti/pitz-pizzeria-italiana?day=today&geohash=u0nd8be8xnqv&time=1930	Pizzicotto Pizzeria Italiana	Ripamonti	Via Meda, 43, Milano, 20141	['Pizza', 'Italiano']	Apre a 19:00	3.9	50+ 
https://deliveroo.it/menu/milano/guastalla/my-heart-2?day=today&geohash=u0nd8be8xnqv&time=1300	My Heart 2	Guastalla	Via Pace 23, Milano, 20122	['Pizza', 'Egiziano', 'Kebab']	Aperti fino alle 23:30	3.8	35 
https://deliveroo.it/menu/milano/navigli/maeve-bakery?day=today&geohash=u0nd8be8xnqv&time=1245	Maeve Bakery	Navigli	Via Elia Lombardini, 4, Milano, 20143	['Dessert', 'Italiano']	Apre a 09:00	3.7	11 
https://deliveroo.it/menu/milano/navigli/burgerama?day=today&geohash=u0nd8be8xnqv&time=1945	Burgerama	Navigli	Alzaia Naviglio Pavese 8, Milano, 20143	['Americano', 'Hamburger']	Apre a 19:00	3.7	50+ 
https://deliveroo.it/menu/milano/tortona/sveg-tortona?day=today&geohash=u0nd8be8xnqv&time=1930	Alley Burger	Tortona	Via California 22, Milano, 20146	['Americano', 'Hamburger']	Apre a 18:45	3.6	50+ 
